title,author,publisher,library,provider,platform,image_url,isbn
챗GPT 120% 투자 질문 기술,ChatGPT 비즈니스 연구회,정보문화사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149615192/XL,
나는 너의 봄이 되리라,서영오,작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149394321/XL,
최진기의 러우전쟁사 : 러우전쟁은 어떤 세계질서를 만드는가?,최진기,스마트북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149397425/XL,
한국에 남자가 너무 많아서,"민지형,정재윤,임소라,미역의효능,류시은,들개이빨",라우더북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149401086/XL,
"근대 괴물 사기극 : 거짓말, 실수, 착각, 그리고 괴물 퇴치의 연대기",이산화,갈매나무,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149401447/XL,
사랑의 질감,윤우진,나무옆의자,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149326561/XL,
미묘한 메모의 묘미 : 시작은 언제나 메모였다,김중혁,유유,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149359094/XL,
사주팔자로 보물찾기,NK밝은미래,바른북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149388327/XL,
1억이 모이는 살림법 : 우리 집에 꼭 맞는 정리 시스템 만들기,나고미,청림Life,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149232142/XL,
욕을 먹어도 신경 쓰지 않는 사고방식 : 상처 주는 말에 작아지지 않기 위해,호리 모토코,파인북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/148409108/XL,
고전이 답했다 마땅히 가져야 할 부에 대하여,고명환,라곰,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/153903837/XL,
"전원 범인, 하지만 피해자, 게다가 탐정",시모무라 아쓰시,북플라자,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149865012/XL,
사랑할수록 나의 세계는 커져간다,김지원,알에이치코리아(RHK),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149867982/XL,
행복도시 꾸리찌바 : 시민의 행복한 삶이 빛나는 스마트한 생태도시 이야기,박용남,더블북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150307426/XL,
야 너도 블로그 시작해,미스터리킴,유페이퍼,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151358676/XL,
떨어지는 아이성적. 마음관리는 하셨나요?,장주하,유페이퍼,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/153720421/XL,
서른다섯 모태솔로 연애하다 : 무의식을 바꾸자 사랑이 찾아왔다,이희훈,작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149658532/XL,
일상의 모든 순간이 화학으로 빛난다면,데보라 가르시아 베요,미래의창,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150326114/XL,
뒤늦게 한의대 편입생이 되었습니다,한지혜,작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151117444/XL,
최고의 부는 어디서 오는가,귀도 알파니,미래의창,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149230287/XL,
영원을 향하여,안톤 허,반타,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150033736/XL,
문자의 힘 : 생각을 현실화하는,요코카와 히로유키,알파미디어,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150109073/XL,
"스마트팜, 미래 농업의 퍼즐을 맞추다",이인규,좋은땅,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150111633/XL,
위태로운 감정을 다스리는 삶을 위한 안내서,겐카 도루,필름,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150319198/XL,
아웃 오브 더 트랙,송정훈,필름,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150322078/XL,
역사를 보다 2,"박현도,곽민수,강인욱,정요근,허준",믹스커피,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150548076/XL,
주문하신 복근 나왔습니다,캥맨(최재영),중앙북스(books),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151362103/XL,
워런 버핏 삶의 원칙,구와바라 데루야,필름,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/152300407/XL,
있다고 다 보여주지 말고 안다고 다 말하지 마라,김종원,마인드셀프,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150029154/XL,
마흔에 다시 시작하는 돈 공부,"백영,조형근",메이트북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150161907/XL,
완벽한 결혼,제네바 로즈,반타,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150170372/XL,
열심히 살아도 불안한 사람들,랄리타 수글라니,알에이치코리아(RHK),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150195928/XL,
"징계를 마칩니다 : 일 좋아하던 평범한 검사, 총장과 맞서다",박은정,안나푸르나,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150240948/XL,
"다시, 가슴 뛰는 삶을 살아라",다릴 앙카,알에이치코리아(RHK),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150340346/XL,
진짜 하루만에 이해하는 해운·조선 산업  : 조선업 슈퍼 사이클! 놓치면 10년 후회합니다,"김성훈,엄성희",티더블유아이지,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149230289/XL,
이야기는 어떻게 인생의 무기가 되는가,벤 앰브리지,알에이치코리아(RHK),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150313064/XL,
"다시, 몸으로","김초엽,김청귤,천선란,저우원,청징보,왕칸위",래빗홀,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150387509/XL,
무궁화꽃이 피었습니다,현단 글그림,이루리북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150846682/XL,
결국 다 좋아서 하는 거잖아요,김승복,달,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151886218/XL,
내가 쓰이지 않은 세상에서 : 소설가를 꿈꾸는 어느 작가의 고백,강주원,디페랑스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150012441/XL,
말리부의 사랑법,테일러 젠킨스 리드,다산책방,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150098955/XL,
"진조쌤 35일 기적의 수영책 : 쭉쭉 나간다, 수영이 달라진다",진종남(진조쌤),서스테인,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150117152/XL,
"지금, 전쟁",하영식,천개의바람,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150163684/XL,
팔레스타인 PALESTINE,"조 사코 글,그림",휴머니스트,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150240715/XL,
그래서 똑똑한 부자는 뭐가 다른데? : 무작정 벌지 않고 전략적으로 부자되는 법,스티브 애드콕,오픈도어북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150311257/XL,
이웃집 너스에이드,치넨 미키토,소담출판사,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150705075/XL,
"아트 워십 : 미술로 예배하다, 미술로 드리는 마음과 묵상",보엘,심플릿,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150716145/XL,
"정원의 책 : 괴테에서 톨킨까지, 26편의 문학이 그린 세상의 정원들",황주영,한겨레출판,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150781196/XL,
내 마음의 조각들이 시가 되었네,"유승희,canva,챗gpt",작가와,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150559386/XL,
재테크농부의 올라운드 투자 : 수익을 최대화하는 리밸런싱 전략,재테크농부,한국경제신문,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150643220/XL,
조종당하는 인간,김석재,스노우폭스북스P,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150647282/XL,
초록 땀,"김화진,문진영,이서수,공현진,김희선,김사과",작가정신,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/151259400/XL,
주식시장을 이기는 작은 책 : 어떤 시장에서도 흔들리지 않는 마법의 투자 공식,조엘 그린블라트,다산북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/152004733/XL,
러닝 바이블,"박지혜,함연식",중앙북스(books),관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149621664/XL,
"이병한의 아메리카 탐문 : 피터 틸, 일론 머스크, 알렉스 카프, J.D. 밴스, 이들은 미국을 어떻게 바꾸려 하는가",이병한,서해문집,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/149659712/XL,
화에 대하여 (라틴어 원전 완역본) : 감정에 휘둘리지 않는 삶을 위한 세네카의 가르침,루키우스 안나이우스 세네카,현대지성,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150116898/XL,
"인생의 짧음에 대하여 (라틴어 원전 완역본) : 시간과 운명, 인생의 본질에 관한 세네카의 가르침",루키우스 안나이우스 세네카,현대지성,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150116900/XL,
고수의 어휘 사용법 : 세련되게 말하고 쓰게 되는 어휘력 비밀 수업,김선영,블랙피쉬,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150154145/XL,
우리가 지켜야 할 한국사 : 서경덕과 전문가들이 들려주는 살아있는 역사 이야기,서경덕과 분야별 전문가,허들링북스,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150167801/XL,
여기는 모든 새벽의 앞,마미야 가이,다산책방,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150274144/XL,
"아들아, 미국주식 이렇게 하지 마라 : 이야기로 배우는 미국주식 대가의 탄탄한 투자 지혜서",이주택,위너스북,관악구통합도서관,YES24,YES24,https://image.yes24.com/goods/150380888/XL,
