title,author,publisher,library,provider,platform,image_url,isbn
당신도 느리게 나이 들 수 있습니다,정희원,더퀘스트,영등포구 도서관,YES24,YES24,/images/bookimg/L_1571456.jpg,
AI 혁명의 미래,"정인성,최홍섭",이레미디어,영등포구 도서관,YES24,YES24,/images/bookimg/403932987.jpg,
백만장자를 위한 공짜 음식 1,이민진,인플루엔셜,영등포구 도서관,YES24,YES24,/images/bookimg/401653617(1).jpg,
백만장자를 위한 공짜 음식 2,이민진,인플루엔셜,영등포구 도서관,YES24,YES24,/images/bookimg/401654196.jpg,
세상에서 가장 행복한 일 `나 바꾸기`,손하정,유페이퍼,영등포구 도서관,YES24,YES24,/images/bookimg/L_1576578.jpg,
2023 대한민국 산업지도 : 투자자를 위한 업종별 투자 가이드,이래학,경이로움,영등포구 도서관,YES24,YES24,/images/bookimg/406095679.jpg,
혹시 MBTI가 어떻게 되세요?,"정대건,임현석,서고운,이유리,이서수,김화진",읻다,영등포구 도서관,YES24,YES24,/images/bookimg/405327882.jpg,
배터리 전쟁,루카스 베르나르스키,위즈덤하우스,영등포구 도서관,YES24,YES24,/images/bookimg/406065902(1).jpg,
우크라이나에서 온 메시지,볼로디미르 젤렌스키,웅진지식하우스,영등포구 도서관,YES24,YES24,/images/bookimg/L_1581356.jpg,
피타고라스 생각 수업,이광연,유노라이프,영등포구 도서관,YES24,YES24,/images/bookimg/406808233.jpg,
AI 지도책 : 세계의 부와 권력을 재편하는 인공지능의 실체,케이트 크로퍼드,소소의책,영등포구 도서관,YES24,YES24,/images/bookimg/403048197.jpg,
파워 오브 펀 : 살아 있음을 느끼게 하는 재미의 재발견,캐서린 프라이스,한국경제신문,영등포구 도서관,YES24,YES24,/images/bookimg/408195071.jpg,
서울을 팔고 도쿄를 샀습니다,백승,알에이치코리아(RHK),영등포구 도서관,YES24,YES24,/images/bookimg/406690416(1).jpg,
나는 좌절의 스페셜리스트입니다,백혜선,다산북스,영등포구 도서관,YES24,YES24,/images/bookimg/408931764.jpg,
아무도 모를 것이다,정보라,퍼플레인(갈매나무),영등포구 도서관,YES24,YES24,/images/bookimg/406948612.jpg,
"감정은 습관이다 : 우울, 걱정, 불안, 슬픔을 벗어나는 감정 조절법",박용철,유노책주,영등포구 도서관,YES24,YES24,/images/bookimg/408159270.jpg,
"부자는 됐고, 적당히 벌고 적당히 잘사는 법 : 격동의 흑역사 끝에 알게 된 보통 사람의 자본주의 생존법",풍백(임다혜),잇콘,영등포구 도서관,YES24,YES24,/images/bookimg/406197061.jpg,
"배우와 배우가 : 두 번의 만남, 두 번의 이야기",김신록,안온북스,영등포구 도서관,YES24,YES24,/images/bookimg/408310663.jpg,
우리도 문 정도는 열 수 있어,유키나리 카오루,제우미디어,영등포구 도서관,YES24,YES24,/images/bookimg/273875204.jpg,
박시백의 고려사 3,박시백,휴머니스트,영등포구 도서관,YES24,YES24,/images/bookimg/406083493(1).jpg,
장사의 신 : 200쇄 기념 블랙에디션,우노 다카시,쌤앤파커스,영등포구 도서관,YES24,YES24,/images/bookimg/406678059.jpg,
최후의 경전 (개정판),김진명,새움,영등포구 도서관,YES24,YES24,/images/bookimg/407464081.jpg,
"에밀리, 파리에 가다",카트린 카랑굴라,빚은책들,영등포구 도서관,YES24,YES24,/images/bookimg/404006126.jpg,
세계사를 바꾼 전쟁의 고수들 : 세기 명장들의 승리 법칙,임용한,EBS BOOKS,영등포구 도서관,YES24,YES24,/images/bookimg/396397800.jpg,
씽킹 101 : 더 나은 삶을 위한 생각하기 연습,안우경,흐름출판,영등포구 도서관,YES24,YES24,/images/bookimg/406782611.jpg,
"아무튼, 현수동",장강명,위고,영등포구 도서관,YES24,YES24,/images/bookimg/408422142.jpg,
"지구에서 영어생활자로 살아남는 법 : 발음에 집착하는 당신이 알아야 할 일터의 언어, 태도에 관하여",백애리,그래도봄,영등포구 도서관,YES24,YES24,/images/bookimg/407430204.jpg,
관계를 망치지 않는 대화법,임정민,경향비피,영등포구 도서관,YES24,YES24,/images/bookimg/408064650(1).jpg,
