title,author,publisher,library,image_url
"저속노화 마인드셋 - 노년내과 의사가 알려주는, 내 몸의 주도권을 되찾고 무너진 삶을 회복하는 법",정희원 지음,웨일북,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/366993327.jpg
땅콩일기,글·그림: 쩡찌,아침달,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000161743.JPG
"개발자를 위한 IT 영어 온보딩 가이드 : 커리어의 가치를 높이는 글로벌 경쟁력의 KICK - 요점 정리 노트, 원어민 발음 영상, AI 튜터 학습 지원 프로그램 제공",장진호 지음,한빛미디어,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/366791216.jpg
MCP로 똑똑하게 일하는 법,케이트리 지음,제이펍,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000168825.JPG
(그림으로 공부하는) 마이크로서비스 구조,"다루사와 히로유키,사사키 아츠모리,모리야마 교헤이,마츠이 마나부,이시이 신이치,미야케 쓰요시 지음 ;김완섭 옮김",제이펍,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000148849.JPG
아무것도 하지 않는 법,지은이: 제니 오델 ;옮긴이: 김하현,필로우,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000143633.JPG
요괴의 아이를 돌봐드립니다 10,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000142993.JPG
(언와인드 디스톨로지 1) 언와인드 : 하비스트 캠프의 도망자,지은이: 닐 셔스터먼 ;옮긴이: 강동혁,열린책들,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000168992.JPG
(언와인드 디스톨로지 2) 언홀리 : 무단이탈자의 묘지,지은이: 닐 셔스터먼 ;옮긴이: 강동혁,열린책들,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000168993.JPG
요괴의 아이를 돌봐드립니다 9,히로시마 레이코 글; 미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000141768.JPG
요괴의 아이를 돌봐드립니다 8,히로시마 레이코 글; 미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000141767.JPG
(언와인드 디스톨로지 3) 언솔드 : 흩어진 조각들,지은이: 닐 셔스터먼 ;옮긴이: 강동혁,열린책들,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000168994.JPG
요괴의 아이를 돌봐드립니다 7,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000141075.JPG
(언와인드 디스톨로지 4) 언디바이디드 : 온전한 존재,지은이: 닐 셔스터먼 ;옮긴이: 강동혁,열린책들,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000168995.JPG
요괴의 아이를 돌봐드립니다 6,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000140211.JPG
요괴의 아이를 돌봐드립니다 2,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000138631.JPG
요괴의 아이를 돌봐드립니다 3,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000138632.JPG
요괴의 아이를 돌봐드립니다 4,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000138633.JPG
요괴의 아이를 돌봐드립니다 5,히로시마 레이코 글 ;미노루 그림 ;김지영 옮김,넥서스Friends,서울시교육청 (소장 / ECO),https://e-lib.sen.go.kr/OPENS/ECO/cover/PRD000139438.JPG
이해받는 것은 모욕이다 : 깊은 내면의 ‘나’를 만나는 게슈탈트 심리상담,김정규 저 ,EBS BOOKS,서울시교육청 (소장 / YES24),https://e-lib.sen.go.kr/OPENS/YES24/cover/441412913.jpg
AI시대의 프로그래머 - 개발 생산성을 200% 높여주는 AI 페어 프로그래밍,"톰 타울리 지음, 이일섭 외 옮김",한빛미디어,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/345816618.jpg
고립의 시대,노리나 허츠,웅진지식하우스,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/211201908.jpg
앨빈 토플러 부의 미래,"앨빈 토플러, 하이디 토플러",청림출판,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/220703097.jpg
내 생각과 관점을 수익화하는 퍼스널 브랜딩,촉촉한마케터(조한솔),초록비책공방,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/220902913.jpg
"아티스트 웨이, 마음의 소리를 듣는 시간 - 세상의 모든 소리에 귀 기울여 나를 바꾸는 법","줄리아 캐머런 지음, 이상원 옮김",비즈니스북스,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/292708386.jpg
롤랑의 노래 - 국내 최초 중세 프랑스어 원전 완역본,김준한 옮김,휴머니스트,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/292125362.jpg
약 짓는 오빠들이 들려주는 알쓸신약 - 알아두면 쓸모있는 신통방통 약이야기,이정철 외 지음,시대인,서울시교육청 (소장 / 알라딘),https://e-lib.sen.go.kr/OPENS/ALADIN/cover/279056160.jpg
2029,류광호 저,몽상가들,서울시교육청 (소장 / YES24),https://e-lib.sen.go.kr/OPENS/YES24/cover/L_1868623.jpg
진짜 하루만에 이해하는 해운·조선 산업,"김성훈, 엄성희",티더블유아이지,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/250705477.jpg
세상을 움직이는 10가지 방정식,데이비드 섬프터,흐름출판,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/250704971.jpg
가심비 진로찾기,이신형,바른북스,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/250702086.jpg
비포 제인 오스틴,홍수민,들녘,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/250701070.jpg
하우스메이드 3,프리다 맥파든 저/황성연 역,북플라자,서울시교육청 (소장 / YES24),https://e-lib.sen.go.kr/OPENS/YES24/cover/563259017.jpg
윤슬의 바다,백은별,바른북스,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/250605809.jpg
죽은 남편이 돌아왔다 1,제인도,팩토리나인,서울시교육청 (소장 / 다산지엔지),https://e-lib.sen.go.kr/OPENS/BOOKCUBE/cover/231202996.jpg
