title,author,publisher,library,image_url,isbn
[필독서 따라잡기] 국가?政體 (플라톤),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 삼국유사(일연),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 통치론(존 로크),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 월든(헨리 데이빗 소로우),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 소유나 존재냐(에리히 프롬),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 삼국사기(김부식),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 유토피아(토머스 모어),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 과학 혁명의 구조(토머스 S. 쿤),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 인간 본성에 대하여(에드워드 윌슨),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 생각의 지도(리처드 니스벳),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 데이터 스모그(데이비드 솅크),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 당신들의 천국(이청준),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 1984(조지 오웰),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 경제학 콘서트(팀 하포드),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 바이오테크 시대(제레미 리프킨),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 드림 소사이어티(롤프 옌센),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 무진기행(김승옥),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
[필독서 따라잡기] 문명 속의 불만(지그문트 프로이트),베리타스알파 편집국,베리타스알파,동작구 구립도서관 (교보),,
