title,author,publisher,library,provider,platform,image_url,isbn
돈의 얼굴 : 미치도록 보고 싶었던,"EBS 돈의 얼굴 제작진,조현영",영진닷컴,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149128272/M,
쓰기로 마음먹은 당신에게 : 나를 활자에 옮기는 가장 사적인 글방,양다솔,한겨레출판,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149634097/M,
우리 사이에는 : 양과 늑대의 이야기,신순재 글,천개의바람,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148490468/M,
달콤한 곰 님의 교실에서는,정유경 글,천개의바람,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148490470/M,
너무 늦은 시간,클레어 키건,다산책방,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148751859/M,
자유의 길 : 경제학은 어떻게 좋은 사회를 만들 수 있는가,조지프 스티글리츠,arte(아르테),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148911698/M,
바다가 들리는 편의점 4,마치다 소노코,모모,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148915009/M,
우리의 낙원에서 만나자,하태완,북로망스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149079394/M,
궤도,서맨사 하비,서해문집,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148548540/M,
료의 생각 없는 생각,료,열림원,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/160004887/M,
1억이 모이는 살림법 : 우리 집에 꼭 맞는 정리 시스템 만들기,나고미,청림Life,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149232142/M,
"아무튼, 레코드 : 음악만큼은, 조금 더 번거롭게 듣고 싶다",성진환,위고,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149122218/M,
인생이 두 배 즐거워지는 자유 여행영어,배진영,다락원,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149129020/M,
마흔에 꼭 알아야 할 최소한의 건강 지식 : 죽을 때까지 평생의 무기가 되는 74가지 예방의학 지침과 습관,모리 유마,루미너스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149218642/M,
어쩌다 마트 일을 시작하게 됐어요?,하현,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149257572/M,
기자의 글쓰기 : 싸움의 기술(실전편) : 박종인의 장르별 필승 글쓰기 특강,박종인,와이즈맵,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150724948/M,
편안함의 습격,마이클 이스터,수오서재,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149079905/M,
"지지 않는 대화 : 2,400년간 성공하는 사람들만이 알았던 아리스토텔레스의 대화 전략",다카하시 겐타로,비즈니스북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149100910/M,
공간은 전략이다 : 당신의 브랜드를 담아낼 8가지 키워드,이승윤,북스톤,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149123544/M,
성장하는 독자를 위한 5가지 문해력 수업,조창훈,미다스북스(리틀미다스),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/152654963/M,
뇌가 멈추기 전에 : 서울대학교병원 뇌신경학자의 뇌졸중을 피하고 건강하게 오래 사는 법,이승훈,21세기북스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149584911/M,
주게무의 여름,모가미 잇페이 글,다산어린이,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149230284/M,
다판다 편의점 2 : 기억을 지워 주는 싹싹 물티슈,강효미 글,다산어린이,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149230286/M,
정원 읽기 : 영국에서 정원 디자이너로 살아가기,김지윤,온다프레스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/148688587/M,
사랑의 질감,윤우진,나무옆의자,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149326561/M,
미묘한 메모의 묘미 : 시작은 언제나 메모였다,김중혁,유유,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149359094/M,
"다시, 공부머리 독서법",최승필,책구루,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149366472/M,
"명화의 비밀, 그때 그 사람",성수영,한경arte,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149394328/M,
명랑한 이시봉의 짧고 투쟁 없는 삶,이기호,문학동네,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150240398/M,
위태로운 감정을 다스리는 삶을 위한 안내서,겐카 도루,필름,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150319198/M,
아웃 오브 더 트랙,송정훈,필름,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150322078/M,
고전이 답했다 마땅히 가져야 할 부에 대하여,고명환,라곰,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/153903837/M,
선녀 세탁소,한진희 글그림,북극곰,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/154648990/M,
"전원 범인, 하지만 피해자, 게다가 탐정",시모무라 아쓰시,북플라자,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149865012/M,
사랑할수록 나의 세계는 커져간다,김지원,알에이치코리아(RHK),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149867982/M,
유현준의 세계 건축 대모험 1 이집트 : 피라미드 대탈출!,유현준 기획,아울북,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149699738/M,
슬로 조깅 혁명,다나카 히로아키,웅진지식하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149727191/M,
찰랑찰랑 슬픔 하나,황선미 글,위즈덤하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149741410/M,
생각 중독자를 위한 관계 수업 : 복잡한 인간관계를 풀어주는 생각 정리 솔루션,닉 트렌턴,청림출판,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150254083/M,
"다시, 가슴 뛰는 삶을 살아라",다릴 앙카,알에이치코리아(RHK),강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150340346/M,
행복 강박,올리버 버크먼,북플레저,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/152321360/M,
진짜 하루만에 이해하는 해운·조선 산업  : 조선업 슈퍼 사이클! 놓치면 10년 후회합니다,"김성훈,엄성희",티더블유아이지,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149230289/M,
세상 멋져 보이는 것들의 사회학 : 그럼에도 불구하고 던져야 할 질문,오찬호,북트리거,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150111571/M,
"단백질 혁명 : 인체 원리에서 신약 개발까지, 바이오 시대를 이끄는 새로운 과학",김성훈,웅진지식하우스,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150117158/M,
감정 사전 : 인생의 작은 숙련가를 위한,단춤 글그림,유유히,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/150128653/M,
최고의 부는 어디서 오는가,귀도 알파니,미래의창,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149230287/M,
지금 근현대사 : 우리가 꼭 알아야 할,최태성 글,다산어린이,강동구립도서관,YES24,YES24,https://image.yes24.com/goods/149387900/M,
