title,author,publisher,library,platform,provider,image_url,isbn
탄소라는 세계,폴 호켄,웅진지식하우스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808901296890/L4808901296890.jpg,
내 시간 설계의 기술,캐시 홈스,청림출판,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808935214822/L4808935214822.jpg,
대전환,앨러스테어 레이놀즈,푸른숲,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801172540655/L4801172540655.jpg,
"대체되거나, 더 잘하거나 — AI 시대, 일의 재정의",OPS INSIGHT LAB 360,사운드독,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/480N250814000/L480N250814000.jpg,
삼체 0 : 구상섬전,류츠신,다산책방,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801130669459/L4801130669459.jpg,
제국의 어린이들,이영은,을유문화사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808932475691/L4808932475691.jpg,
위대한 패배자,볼프 슈나이더,을유문화사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808932475677/L4808932475677.jpg,
귀신새 우는 소리,류재이,북다,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801170613009/L4801170613009.jpg,
나는 평온하게 죽고 싶습니다,송병기,프시케의숲,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801189336777/L4801189336777.jpg,
내 방안의 역사 컬렉션,박건호,휴머니스트,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801170873601/L4801170873601.jpg,
디스펠,이마무라 마사히로,내친구의서재,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801191803489/L4801191803489.jpg,
생존을 위한 최소한의 지리,최준영,교보문고,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/480N250875610/L480N250875610.jpg,
아무것도 하기 싫은 당신에게,나명진,피톤치드,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801192549515/L4801192549515.jpg,
한순간 여름 같은,조지 오웰,휴머니스트,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801170873595/L4801170873595.jpg,
오십에 읽는 명상록,장대은,문예춘추사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808976047489/L4808976047489.jpg,
이제 막 스무 살이 된 딸에게 들려주는 그림책 이야기,조숙경,예미,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801192907797/L4801192907797.jpg,
카롱 카롱 마카롱,이빛,크레용하우스,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801171211587/L4801171211587.jpg,
라쇼몽,아쿠타가와 류노스케,문예출판사,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4808931025514/L4808931025514.jpg,
식탐정 허균: 화왕계 살인 사건,현찬양,래빗홀,중랑구립정보도서관,Kyobo_New,교보문고,https://ebook.jungnanglib.seoul.kr/upload/21004/content/ebook/4801168343017/L4801168343017.jpg,
