title,author,publisher,library,platform,provider,image_url,isbn
내 마음이 지옥일 때 부처가 말했다,코이케 류노스케,웅진지식하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808901297149/L4808901297149.jpg,
머니 트렌드 2026,김도윤,북모먼트,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193937687/L4801193937687.jpg,
머니: 인류의 역사,데이비드 맥윌리엄스,포텐업,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801198902567/L4801198902567.jpg,
수학이 사랑하는 삼각형,맷 파커,해나무,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801164053378/L4801164053378.jpg,
아직은 죽을 수 없다,홀리 잭슨,북플라자,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193324678/L4801193324678.jpg,
트렌드 코리아 2026,김난도,미래의창,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193638850/L4801193638850.jpg,
다산의 문장들,조윤제,오아시스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801168273253/L4801168273253.jpg,
양면의 조개껍데기,김초엽,래빗홀,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801168343109/L4801168343109.jpg,
오늘도 불안한 엄마들에게,양소영,담담사무소,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801197120061/L4801197120061.jpg,
우리는 무엇을 타고나는가,케빈 J. 미첼,오픈도어북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801173741525/L4801173741525.jpg,
2025 제8회 한국과학문학상 수상작품집,고선우,허블,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193078663/L4801193078663.jpg,
소년과 녹나무,히가시노 게이고,소미미디어,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801138439023/L4801138439023.jpg,
대치동 학원의 비밀,이규영,세이코리아,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193239330/L4801193239330.jpg,
어떻게 공부하게 만들 것인가,제니 앤더슨,21세기북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801173574123/L4801173574123.jpg,
우먼 인 캐빈 10,루스 웨어,필름(Feelm),양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193262727/L4801193262727.jpg,
클래식이 알고 싶다: 인상 카페 편,안인모,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171714866/L4801171714866.jpg,
"괜찮은 척, 이제 그만두겠습니다",양스위엔,파인북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801198632563/L4801198632563.jpg,
샘 올트먼: AI 제국의 설계자,저우헝싱,지니의서재,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194620151/L4801194620151.jpg,
조용한 회복,박재연,한빛라이프,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194725207/L4801194725207.jpg,
하우스메이드 3,프리다 맥파든,북플라자,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193324555/L4801193324555.jpg,
흔적,Maple Yip,도서출판 에이에스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801197732776/L4801197732776.jpg,
2026 한국이 열광할 세계 트렌드,KOTRA,시공사,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171258513/L4801171258513.jpg,
기술공화국 선언,알렉스 카프,지식노마드,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801192248340/L4801192248340.jpg,
말뚝들,김홍,한겨레출판사,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801172133062/L4801172133062.jpg,
빅 퓨처,데이비드 크리스천,북라이프,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801191013994/L4801191013994.jpg,
화내며 살기엔 인생이 너무 짧다,이진우,추수밭,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155402567/L4801155402567.jpg,
무의식의 뇌과학,엘리에저 J. 스턴버그,다산초당,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801130669312/L4801130669312.jpg,
주말엔 산사,윤설희,휴머니스트,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801170873755/L4801170873755.jpg,
공허의 시대,조남호,웅진지식하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/480D250975210/L480D250975210.jpg,
납득되는 몰상식한 아이디어,송재원,토네이도,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801158513253/L4801158513253.jpg,
단단한 삶을 위한 자신감 저축,아리카와 마유미,더페이지,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194156261/L4801194156261.jpg,
달러 자산 1억으로 평생 월급 완성하라,채부심(채상욱),몽스북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801199229977/L4801199229977.jpg,
사람을 끌어당기는 우아한 말센스,신희영,알토북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194655139/L4801194655139.jpg,
오늘도 잘 놀다 갑니다,김은영(소풍족),서스테인,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193388205/L4801193388205.jpg,
집안일 쉽게 하는 법,aki,즐거운상상,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801155362380/L4801155362380.jpg,
팔란티어 시대가 온다,변우철,한국경제신문,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808947501873/L4808947501873.jpg,
AI 에이전트 생태계,조쉬(이주환),로드북,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193229348/L4801193229348.jpg,
