title,author,publisher,library,provider,platform,image_url,isbn,goods_id
소식주의자,미즈노 남보쿠,사이몬북스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109558086/M,,109558086
소리 내어 말하지 않아도,케이트 다비셔,다봄,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109590049/M,,109590049
미움을 파는 고슴도치,슬라비 스토에프 글,다봄,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109590051/M,,109590051
맛있어서 지속 가능한 디디미니 다이어트 레시피,미니 박지우,빅피시,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109590205/M,,109590205
한 권으로 끝내주는 기초 속성 중국어,박경진,도서출판 신아사,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/140243518/M,,140243518
느낌표,에이미 크루즈 로젠탈 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157358/M,,109157358
"수달 씨, 작가 되다",윤여림 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157361/M,,109157361
안 본 눈 삽니다,제성은 글,킨더랜드,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/116627002/M,,116627002
"거짓말쟁이, 우리들",양은진 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157355/M,,109157355
나태평과 진지해,진수경 글그림,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157357/M,,109157357
딱 한마디 미술사,안소연 글,천개의바람,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109157359/M,,109157359
저 별은 모두 당신을 위해 빛나고 있다,손힘찬,떠오름,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110662173/M,,110662173
"올림픽, 어디까지 아니?",김윤정 글,고래가숨쉬는도서관,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109648061/M,,109648061
거북이 버스,차율이 글,고래가숨쉬는도서관,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109648062/M,,109648062
에이아이 내니 영원한 내 친구,박미정 글,고래가숨쉬는도서관,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109648063/M,,109648063
[단독] 오토 워,자동차미생,이레미디어,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109657027/M,,109657027
스킹의 발명 노트,샤샤미우 글그림,킨더랜드,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/117973163/M,,117973163
나의 첫 ETF 포트폴리오,송민섭(수페TV),토네이도,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109640760/M,,109640760
"수학 잘하는 아이, 수학도 잘하는 아이",오선영,한국경제신문사(한경비피),강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109641169/M,,109641169
꽤 괜찮은 해피엔딩,이지선,문학동네,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109580871/M,,109580871
교실 뒤의 소년,온잘리 Q. 라우프 글,다봄,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109590048/M,,109590048
어린 여우를 위한 무서운 도시 이야기,크리스천 맥케이 하이디커 글,밝은미래,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109747776/M,,109747776
잘난 척쟁이 혼내 주기,김다노 글,마주별,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109141483/M,,109141483
욕 천재의 비밀,성주희 글,마주별,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109141484/M,,109141484
부동산 쫌 아는 10대,오승현 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109661642/M,,109661642
지유의 코로나19 일기,홍지유 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109661644/M,,109661644
아이와 칼,김숨 글,우리나비,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109664774/M,,109664774
사랑의 솜사탕,이수복 글,우리나비,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109664775/M,,109664775
