title,author,publisher,library,platform,provider,image_url,isbn
AI 혁명,송경희,메디치미디어,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801157064329/L4801157064329.jpg,
분쟁 지역을 읽으면 세계가 보인다,김준형,날,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801168103529/L4801168103529.jpg,
탁영,장다혜,북레시피,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193551364/L4801193551364.jpg,
경험의 멸종,크리스틴 로젠,어크로스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/480N250505680/L480N250505680.jpg,
"미안한데, 널 위한 게 아니야",Yuzuki Asako,알토북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194655054/L4801194655054.jpg,
똑똑한 초등신문 3,신효원,책장속북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801198721489/L4801198721489.jpg,
슈퍼 포지셔닝의 전략가들,김동욱,래디시,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801193406060/L4801193406060.jpg,
"암에 지는 사람, 암을 이기는 사람(무병장수 에디션)",김의신,쌤앤파커스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194755198/L4801194755198.jpg,
영어 명문장 필사 노트,이근철,링크북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801199095206/L4801199095206.jpg,
일본 현지 반찬 대백과,스가와라 요시미,클,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194374269/L4801194374269.jpg,
진짜를 만들 수가 없어서요,강진아,한끼,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654613/L4801194654613.jpg,
진공 붕괴,해도연,한겨레,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801172132539/L4801172132539.jpg,
청조,이다인,바른북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801172633555/L4801172633555.jpg,
간호사 우즈키에게 보이는 것,아키야 린코,문예춘추사,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808976047069/L4808976047069.jpg,
관계는 틈이다,차이유린,밀리언서재,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801191777964/L4801191777964.jpg,
꽃거지를 찾습니다,홍선주,한끼,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194654583/L4801194654583.jpg,
불편함에 편안함을 느껴라,벤 알드리지,파인북,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801198632525/L4801198632525.jpg,
이로운 보수 의로운 진보,최강욱,한겨레출판사,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801172132478/L4801172132478.jpg,
인생을 바꾸는 대화의 기술,최영준,더페이지,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194156155/L4801194156155.jpg,
자기다움 리더십,박정열,흐름출판,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808965967132/L4808965967132.jpg,
"마침내, 안녕",유월,서사원,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801168223982/L4801168223982.jpg,
비전공자도 이해할 수 있는 챗GPT,박상길,비즈니스북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801162544212/L4801162544212.jpg,
서울대 공대 아빠의 수학 비밀 노트,이창준,비타북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801158464401/L4801158464401.jpg,
수상탑의 살인,김영민,아프로스미디어,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801189770618/L4801189770618.jpg,
아이의 어휘력을 위한 66일 필사 노트,김종원,데이스타,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801168273031/L4801168273031.jpg,
클래식 왜 안 좋아하세요?,권태영(탱로그),빅피시,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801194033777/L4801194033777.jpg,
법의학자 유성호의 유언 노트,유성호,21세기북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801173571948/L4801173571948.jpg,
김밥천국 가는 날,전혜진,래빗홀,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801168342782/L4801168342782.jpg,
살아남는 스토리는 무엇이 다른가,전혜정,웅진지식하우스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4808901294803/L4808901294803.jpg,
"쉬어가세요, 책과 수프에서",윤해,바른북스,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801172633463/L4801172633463.jpg,
천 번을 부서져도 그대는 여전히 바다다,정상교,스몰빅라이프,강북문화정보도서관,Kyobo_New,교보문고,https://ebook.gblib.or.kr/upload/20331/content/ebook/4801191731799/L4801191731799.jpg,
